ID	DOCULECT	FORM	CONCEPT	COGID	MORPHEMES	NOTE	PROTOSET	PROTOFORM	APBM	BASICVOCABULARY
250	PBoM	kɨʔʤiba	CEBUS,MONKEY 	84			105	*kɨʔʤiba	*(čoyíyi), *kɯʔǰíba	
251	Bora	kʰɯʔʧípa	CEBUS,MONKEY 	84			105	*kɨʔʤiba		
252	Muinane	kɨʤíba 	CEBUS,MONKEY 	84			105	*kɨʔʤiba		
253	PBoM	kɨɨmɨ	SPIDER MONKEY 	85			107	*kɨɨmɨ	*(xɯ́bííǰaxɨ), *kɯɯ́mɯ	
254	Bora	kʰɯɯ́mɯ	SPIDER MONKEY 	85			107	*kɨɨmɨ		
255	Muinane	kɨ́ɨ́mɨ 	SPIDER MONKEY 	85			107	*kɨɨmɨ		
256	PBoM	heehɨ,tuuʔhe	ANTEATER 	86			109	*heehɨ,*tuuʔhe	*xɨɨ́xɯ, *tooʔxɨ	
257	Bora	ɨɨ́hɯ, tʰoʔhɨ	ANTEATER 	86			109	*heehɨ,*tuuʔhe		
258	Muinane	hééhɨ, túuhe 	ANTEATER 	86			109	*heehɨ,*tuuʔhe		
259	PBoM	takkɨ	PACA 	87			110	*takkɨ	*takkɯ, (ainókkóʔega)	
260	Bora	tʰahkʰɯ	PACA 	87			110	*takkɨ		
261	Muinane	tákkɨ 	PACA 	87			110	*takkɨ		
262	PBoM	niʔba,m()ʔduba	CROCODILE 	88			111	*niʔba,*m()ʔduba	*niʔiba, *meeʔdóba	
263	Bora	niʔpa, meʔtópa	CROCODILE 	88			111	*niʔba,*m()ʔduba		
264	Muinane	níʔiba, méédúba 	CROCODILE 	88			111	*niʔba,*m()ʔduba		
265	PBoM	maaina-ʔu	IGUANA 	89			112	*maaina-ʔu	*mááínaʔo, (xóóčáíʔi)	
266	Bora	mááɲa-ʔo 	IGUANA 	89	iguana-cl		112	*maaina-ʔu		
267	Muinane	mááɲá-ʔu 	IGUANA 	89			112	*maaina-ʔu		
268	PBoM	mooni	COLLARED PECCARY 	90			115	*mooni	*meéni	
269	Bora	meéni	COLLARED PECCARY 	90			115	*mooni		
270	Muinane	méeni 	COLLARED PECCARY 	90			115	*mooni		
271	PBoM	paapaiba	WHITE-LIPPED PECCARY 	91			116	*paapaiba	*páápaiba, (mɨ́neébe)	
272	Bora	pʰáápʰapʲa	WHITE-LIPPED PECCARY 	91			116	*paapaiba		
273	Muinane	ɸááɸaiba 	WHITE-LIPPED PECCARY 	91			116	*paapaiba		
274	PBoM	pattɨ	AGOUTI 	92			117	*pattɨ	(páttɯ), (bɨrɯmɯxɨ)	
275	Bora	pʰahtʰɯ 	AGOUTI 	92		Miraña dialect	117	*pattɨ		
276	Muinane	ɸáttɨ 	AGOUTI 	92			117	*pattɨ		
277	PBoM	giʔpo	RAT 	93			118	*giʔpo	(gíʔipe), (nɯɯmɨ́ra), (kɯɯβéba), (aaʦáriɯ)	
278	Bora	ʧiʔpʰʲe	RAT 	93			118	*giʔpo		
279	Muinane	gíʔiɸo 	RAT 	93			118	*giʔpo		
280	PBoM	miiʧii	CAT 	94			119	*miiʧii	*mííʦií {Spanish}	
281	Bora	mííʧʰií	CAT 	94			119	*miiʧii		
282	Muinane	mííʃi 	CAT 	94		Note: loan from Spanish 	119	*miiʧii		
283	PBoM	giʔpo	MOUSE 	95			120	*giʔpo	*giʔpe, (kɯɯβéba), (bííččaɯ)	
284	Bora	ʧiʔpʰʲe	MOUSE 	95			120	*giʔpo		
285	Muinane	gíiɸo 	MOUSE 	95			120	*giʔpo		
286	PBoM	bu	TAIL  	96			121	*bu	(ííboʔo), (bógaá), (gagááíβe)	Leipzig-Jakarta, Swadesh
287	Bora	pó-kʷaá 	TAIL  	96	tail-cl		121	*bu		Leipzig-Jakarta, Swadesh
288	Muinane	íí-bu-ʔu 	TAIL  	96	3.sg-tail-cl 		121	*bu		Leipzig-Jakarta, Swadesh
289	PBoM	hiinimo	SNAKE 	97			122	*hiinimo	*xíinime, (íttɯ)	
290	Bora	ííɲimʲe	SNAKE 	97			122	*hiinimo		
291	Muinane	híinimo 	SNAKE 	97			122	*hiinimo		
292	PBoM	buua,iigai-	ANACONDA,WATER BOA 	98			123	*buua,*iigai-	*bóóaá {Spanish?}, *íígai(ko)	
293	Bora	póóaá, ííkʷakʰʲo	ANACONDA,WATER BOA 	98			123	*buua,*iigai-		
294	Muinane	búúa, ígáíβatɨ 	ANACONDA,WATER BOA 	98		Note: possibly a loan from Tupian 	123	*buua,*iigai-		
295	PBoM	taakaʔo	RATTLESNAKE 	99			124	*taakaʔo	*táakaʔe	
296	Bora	tʰáákʰaʔe	RATTLESNAKE 	99			124	*taakaʔo		
297	Muinane	táakaʔo 	RATTLESNAKE 	99			124	*taakaʔo		
298	PBoM	ʧiraagai	CORAL SNAKE 	100			125	*ʧiraagai	*čiráágai, (kábɯɯ́ɯ)	
299	Bora	ʧʰiijákʷa	CORAL SNAKE 	100			125	*ʧiraagai		
300	Muinane	ʧiráágai 	CORAL SNAKE 	100			125	*ʧiraagai		
301	PBoM	hakuga,()ɨɨriʔi,nihaga,mɨɨʔmeba,haakkɨba	TOAD 	101			126	*hakuga,()ɨɨriʔi,nihaga,mɨɨʔmeba,haakkɨba	*xaʔkó(kó)ga, *(β)ɯ́ɯ́ríʔií, *mɯɯʔmɨ́ba, (xáákkɯba), (…)	
302	Bora	aʔkʰókʷa, βɯ́ɯ́ríʔií, níhʲakʷa, mɯʔmɨ́pa, áákʰɯpa	TOAD 	101			126	*hakuga,()ɨɨriʔi,nihaga,mɨɨʔmeba,haakkɨba		
303	Muinane	hakúkúga, bɨ́ɨ́riʔi, níhaga, mɨ́ɨ́méba, háákkɨba 	TOAD 	101			126	*hakuga,()ɨɨriʔi,nihaga,mɨɨʔmeba,haakkɨba		
304	PBoM	paaibe	HUMMINGBIRD 	102			128	*paaibe	*páá(i)bɨ(ʔo), (róóbɨ́ǰɯ)	
305	Bora	pʰáápɨʔo	HUMMINGBIRD 	102			128	*paaibe		
306	Muinane	ɸááibe, 	HUMMINGBIRD 	102			128	*paaibe		
307	PBoM	heeβaa,in()ʔai	MACAW 	103			129	*heeβaa,*in()ʔai	*xɨ́ɨβaá, *ín(a)ʔai, (ɨ́ɨ́rɨ́da, éérɨ́da, ɨ́ɨ́réda)	
308	Bora	ɨ́ɨ́βaá, íɲaʔa	MACAW 	103			129	*heeβaa,*in()ʔai		
309	Muinane	hééβa, ínóʔai 	MACAW 	103			129	*heeβaa,*in()ʔai		
310	PBoM	nɨgo	TOUCAN 	104			130	*nɨgo	*nɯge, (xɯ́ɯ́kkɯgai), *r(í)(ʔ)oó(ʔo), *b(ai)rí(gai)	
311	Bora	nɯʧe	TOUCAN 	104			130	*nɨgo		
312	Muinane	nɨ́go 	TOUCAN 	104			130	*nɨgo		
313	PBoM	ainɨ	BUZZARD 	105			133	*ainɨ	*ainɯ (ʦókkoga)	
314	Bora	aɲɯ	BUZZARD 	105			133	*ainɨ		
315	Muinane	áɲɨ 	BUZZARD 	105			133	*ainɨ		
316	PBoM	kɨga-	CURASSOW 	106			134	*kɨga-	(kɯ́gáʔe)	
317	Bora	kʰɯ́kʷá-kʰo 	CURASSOW 	106	currassow-cl		134	*kɨga-		
318	Muinane	kɨ́gá-ʔo 	CURASSOW 	106	currassow-cl 		134	*kɨga-		
319	PBoM	peeka-he	GUAN 	107			136	*peeka-he	*pɨ́ɨ́kaxɨ	
320	Bora	pʰɨ́ɨ́kʰa-hɨ 	GUAN 	107	guan-cl		136	*peeka-he		
321	Muinane	ɸééka-he 	GUAN 	107			136	*peeka-he		
322	PBoM	ka()a()a	HEN 	108			137	*ka()a()a	*ka(ttá-βa), *ká(ra-ka) {Tucano}, gáǰerááʔe, gáigerááʔe), (kettɯ́ɯ) 	
323	Bora	kʰárakʰa	HEN 	108			137	*ka()a()a		
324	Muinane	kattáβa 	HEN 	108		Note: loan from Tupi 	137	*ka()a()a		
325	PBoM	gaikku-he,nitta	PIRANHA 	109			139	*gaikku-he,*nitta	*(nítta), *gáíkkoxɨ	
326	Bora	kʷáhkʰʲo-hɨ, níhtʲa-hɨ 	PIRANHA 	109	piranha-cl		139	*gaikku-he,*nitta		
327	Muinane	gáíkku-he, nítta 	PIRANHA 	109			139	*gaikku-he,*nitta		
328	PBoM	hɨɨku-ga	FLEA 	110			142	*hɨɨku-ga	*xɯ́ɯ́ko-gai	
329	Bora	ɯ́ɯ́kʰo-kʷa 	FLEA 	110	?-cl:plank		142	*hɨɨku-ga		
330	Muinane	hɨ́ɨ́ku-gai 	FLEA 	110			142	*hɨɨku-ga		
331	PBoM	gaaini-ʔu	LOUSE  	111			143	*gaaini-ʔu	*gáainiʔo, *gai(ʔtéxɨ) 	Leipzig-Jakarta, Swadesh
332	Bora	kʷááni-ʔʲo 	LOUSE  	111	louse-cl:oval		143	*gaaini-ʔu		Leipzig-Jakarta, Swadesh
333	Muinane	gáaɲi-ʔu 	LOUSE  	111			143	*gaaini-ʔu		Leipzig-Jakarta, Swadesh
334	PBoM	gaaihɨ	MOSQUITO 	112			144	*gaaihɨ	*gaáí-xɯ(-ba), *gáí-(mɯ́ɯ́-taba), (opiǰɯ) 	
335	Bora	kʷaáhʲɯ	MOSQUITO 	112			144	*gaaihɨ		
336	Muinane	gáaihɨba 	MOSQUITO 	112			144	*gaaihɨ		
337	PBoM	maʔarɨ	TERMITE 	113			145	*maʔarɨ	*(mɯ́ǰɯ́gí(y)ɯ), *máʔarɯ́(mɯɯ́-be), (táabane), (tákíʔki-ba), (mooá-ba)	
338	Bora	máʔarɯ́-mɯɯ́pe 	TERMITE 	113	termite-person		145	*maʔarɨ		
339	Muinane	máʔarɨ 	TERMITE 	113			145	*maʔarɨ		
340	PBoM	piimo	ANT  	114			146	*piimo	*píime(ba)	Leipzig-Jakarta
341	Bora	pʰíímʲepa	ANT  	114			146	*piimo		Leipzig-Jakarta
342	Muinane	ɸíimo 	ANT  	114			146	*piimo		Leipzig-Jakarta
343	PBoM	paaga-	SPIDER 	115			147	*paaga-	*páaga-xɨ, *paagá-(yɯ), (xɯ́ɯ́móʔai), (ííkkoxɨ), (doʔgá-xɨ)	
344	Bora	pʰaakʷá-jɯ 	SPIDER 	115	spider-cl:round		147	*paaga-		
345	Muinane	ɸáaga-he 	SPIDER 	115	spider-cl:disc 		147	*paaga-		
346	PBoM	niipahe	JIGGER (TUNGA PENETRANS) 	116			148	*niipahe	*níipa-xɨ	
347	Bora	níípʰahɨ	JIGGER (TUNGA PENETRANS) 	116			148	*niipahe		
348	Muinane	níiɸahe 	JIGGER (TUNGA PENETRANS) 	116			148	*niipahe		
349	PBoM	bahɨ	BUSH 	117			149	*bahɨ	*báxɯɯ́	
350	Bora	páhɯɯ́	BUSH 	117			149	*bahɨ		
351	Muinane	báhɨ 	BUSH 	117			149	*bahɨ		
352	PBoM	namettɨhe,ʦukkum()he	OPEN GRASSLAND 	118			150	*namettɨhe,*ʦukkum()he		
353	Bora	nómɨ́htʰɯhɨ, ʦʰóhkʰómɯhɨ	OPEN GRASSLAND 	118			150	*namettɨhe,*ʦukkum()he		
354	Muinane	námettɨhe, súkkumehe 	OPEN GRASSLAND 	118		Note: see 161	150	*namettɨhe,*ʦukkum()he		
355	PBoM	gahɨɨ,baaɨɨ	HILL 	119			151	*gahɨɨ,*baaɨɨ	*gáxɯɯ́, *(káme)-gáxɯ, *(pá)-gaxɯ, *báaɯɯ́, *(pá)-ʔbaɯ {293}	
356	Bora	kʷáhɯɯ́, páɯɯ́	HILL 	119			151	*gahɨɨ,*baaɨɨ		
357	Muinane	gáhɨ, báaɨ 	HILL 	119			151	*gahɨɨ,*baaɨɨ		
358	PBoM	ɨmo-ʔo	TREE  	120			152	*ɨmo-ʔo	*ɯ́me-ʔe {tree-wood,60}	Leipzig-Jakarta, Swadesh
359	Bora	ɯ́me-ʔe 	TREE  	120	wood-cl:tree		152	*ɨmo-ʔo		Leipzig-Jakarta, Swadesh
360	Muinane	ɨ́mo-ʔo 	TREE  	120			152	*ɨmo-ʔo		Leipzig-Jakarta, Swadesh
361	PBoM	aame	LEAF  	121			153	*aame	*(ɨ́na)-ʔáámɨ, (-xɯ́ɯ́ʔoó), (mɨ́ɨ́ɯmɯ)	Leipzig-Jakarta, Swadesh
362	Bora	ʔáámɨɨ́	LEAF  	121			153	*aame		Leipzig-Jakarta, Swadesh
363	Muinane	áame 	LEAF  	121		Note =154 	153	*aame		Leipzig-Jakarta, Swadesh
364	PBoM	-ʔaame	TREE LEAF 	122			154	*-ʔaame	*(ɨ́na)-ʔáamɨ	
365	Bora	ɨ́naʔáámɨ	TREE LEAF 	122			154	*-ʔaame		
366	Muinane	áame 	TREE LEAF 	122		Note =153	154	*-ʔaame		
367	PBoM	ba(i)(k)ko-	ROOT  	123			158	*ba(i)(k)ko-	*ba(i)(k)ké-(ʔeke), *bá(i)(k)keé, (-tane)	Leipzig-Jakarta, Swadesh
368	Bora	páhkʰʲeé	ROOT  	123			158	*ba(i)(k)ko-		Leipzig-Jakarta, Swadesh
369	Muinane	bakóʔoko 	ROOT  	123			158	*ba(i)(k)ko-		Leipzig-Jakarta, Swadesh
370	PBoM	batʦu-	SEED  	124			159	*batʦu-	*batʦó-(), (néébaba), (painéβa-ɯ)	Swadesh
371	Bora	pahʦʰó-kʷa 	SEED  	124	plant-cl:plank		159	*batʦu-		Swadesh
372	Muinane	basú-ta 	SEED  	124			159	*batʦu-		Swadesh
373	PBoM	ɨmoo-ʔi	STICK 	125			160	ɨmoo-ʔi	* ɯ́méʔe-i, *ɯ́mé-(ne-ba), (ǰári-ga)	
374	Bora	ɯ́mé-ʔe-i 	STICK 	125	wood-cl:tree-cl:stick		160	ɨmoo-ʔi		
375	Muinane	ɨ́mee-ʔi 	STICK 	125	wood-cl:stick 		160	ɨmoo-ʔi		
376	PBoM	ʦukkume-he	GRASS 	126			161	*ʦukkume-he	*ʦókkómɯxɨ, (páíxɯ), (pɨɨ́βa)	
377	Bora	ʦʰóhkʰómɯ-hɨ 	GRASS 	126	grassland-cl:disc		161	*ʦukkume-he		
378	Muinane	súkkume-he 	GRASS 	126		Note =150 	161	*ʦukkume-he		
379	PBoM	máaʔu	CASSAVA (BREAD) 	127			163	*máaʔu	*(xáara), (páikoómi) {sweet}, *pɨ́ɨkkaá, (baaxɯ́ri) {bitter}	
380	Bora	mááʔo	CASSAVA (BREAD) 	127			163	*máaʔu		
381	Muinane	máaʔu 	CASSAVA (BREAD) 	127			163	*máaʔu		
382	PBoM	baino	TOBACCO 	128			165	*baino	*baine	
383	Bora	paɲe	TOBACCO 	128			165	*baino		
384	Muinane	báɲo 	TOBACCO 	128			165	*baino		
385	PBoM	haʔdi	COTTON 	129			166	*haʔdi	*xáʔadi	
386	Bora	aʔti	COTTON 	129			166	*haʔdi		
387	Muinane	háʔadi 	COTTON 	129			166	*haʔdi		
388	PBoM	duutu	GOURD 	130			167	*duutu	(xáʔaxɨ), *dóoto-	
389	Bora	toótʰo	GOURD 	130			167	*duutu		
390	Muinane	dúutuʔu 	GOURD 	130			167	*duutu		
391	PBoM	kɨnii-	YAM 	131			168	*kɨnii-	*kɨni(romi), *kɨ́nií-(ɯ)	
392	Bora	kʰɯni	YAM 	131			168	*kɨnii-		
393	Muinane	kɨ́nirumi 	YAM 	131			168	*kɨnii-		
394	PBoM	nooba-ba	ANNATTO 	132			170	*nooba-ba	*néebaba	
395	Bora	néépa-pa 	ANNATTO 	132	annatto-cl		170	*nooba-ba		
396	Muinane	nóoba-ba 	ANNATTO 	132			170	*nooba-ba		
397	PBoM	dee-ʔuɨ	CHILI PEPPER 	133			171	*dee-ʔuɨ	*dɨ́ɨ́-ʔoɯ {fruit}	
398	Bora	tɨ́ɨ́-ʔoɯ 	CHILI PEPPER 	133	chili-cl		171	*dee-ʔuɨ		
399	Muinane	déé-ʔuɨ 	CHILI PEPPER 	133			171	*dee-ʔuɨ		
400	PBoM	hiibii-	COCA 	134			172	*hiibii-	*xííbií-(ʔe)	
401	Bora	íípií	COCA 	134			172	*hiibii-		
402	Muinane	hííbi-ʔo 	COCA 	134	coca-cl:tree 		172	*hiibii-		
403	PBoM	bakko	BANISTERIUM 	135			173	*bakko	*bá(k)ke(tamɯ), *(né)ba(k)ke	
404	Bora	népahkʰe	BANISTERIUM 	135			173	*bakko		
405	Muinane	bákotamɨ 	BANISTERIUM 	135			173	*bakko		
406	PBoM	ɨhe-	PLANTAIN 	136			174	*ɨhe-	*ɯ́xɨ-()	
407	Bora	ɯhɨ	PLANTAIN 	136			174	*ɨhe-		
408	Muinane	ɨ́heba 	PLANTAIN 	136			174	*ɨhe-		
409	PBoM	moomo,CHONTA	PALM 	137			175	*moomo,CHONTA	*meéme, *meéme-(ʔegííʔo), *meéme-(ʔeǰííʔyo)	
410	Bora	meéme	PALM 	137			175	*moomo,CHONTA		
411	Muinane	móomo 	PALM 	137			175	*moomo,CHONTA		
412	PBoM	ɨmo	SALT  	138			179	*ɨmo	(ɯ́moʔo), (áit(t)ega), (kánáámaá), (kánaáma)	Leipzig-Jakarta
413	Bora	ɯ́me 	SALT  	138	vegetable salt		179	*ɨmo		Leipzig-Jakarta
414	Muinane	ɨ́muʔu 	SALT  	138	vegetable salt 		179	*ɨmo		Leipzig-Jakarta
415	PBoM	moomo-ba	CHICHA (OF PEACH PALM FRUITS) 	139			180	*moomo-ba	*méemeba, (báaxɯ́ribá)	
416	Bora	mééme-pa 	CHICHA (OF PEACH PALM FRUITS) 	139	peach_palm-cl:liquid		180	*moomo-ba		
417	Muinane	móomo-ba 	CHICHA (OF PEACH PALM FRUITS) 	139			180	*moomo-ba		
418	PBoM	ʦaa-no	ONE  	140			181	*ʦaa-no	*ʦaane	Leipzig-Jakarta, Swadesh
419	Bora	ʦʰa-ne 	ONE  	140	one-inan		181	*ʦaa-no		Leipzig-Jakarta, Swadesh
420	Muinane	sáá-no 	ONE  	140			181	*ʦaa-no		Leipzig-Jakarta, Swadesh
421	PBoM	mi-no-kɨ	TWO  	141			182	*mi-no-kɨ	*míínéékkɯɯ́	Swadesh
422	Bora	mí-ɲéé-kʰɯɯ́ 	TWO  	141	two-inan-dual		182	*mi-no-kɨ		Swadesh
423	Muinane	míí-no-kkɨ 	TWO  	141			182	*mi-no-kɨ		Swadesh
424	PBoM	sa-ʔuʦʦe	FIVE 	142			185	*sa-ʔuʦʦe	*ʦá-ʔotʦɨ́ {one-hand}	
425	Bora	ʦʰá-ʔohʦʰɨ́ 	FIVE 	142	one-hand		185	*sa-ʔuʦʦe		
426	Muinane	sa-ʔúse 	FIVE 	142			185	*sa-ʔuʦʦe		
427	PBoM	ttɨkkonɨ	FIRST 	143			191	*ttɨkkonɨ	*(it)tɯ(k)kénɯ, (ɯ́mɨ́gare), (ʦáʔííxɯ́ttɯre)	
428	Bora	tʰɯhkʰénɯ	FIRST 	143			191	*ttɨkkonɨ		
429	Muinane	íttɨkonɨ 	FIRST 	143			191	*ttɨkkonɨ		
430	PBoM	niiʔnoo-	LAST 	144			192	*niiʔnoo-	*niiʔnée-né(-re), (áǰɯba-)	
431	Bora	niʔɲé-re 	LAST 	144	last-?		192	*niiʔnoo-		
432	Muinane	níínoo-no 	LAST 	144			192	*niiʔnoo-		
433	PBoM	kɨɨmɨ-ba	DRUM 	145			194	*kɨɨmɨ-ba	*kɯ́ɯ́mɯ-ba	
434	Bora	kʰɯ́ɯ́mɯ-pa 	DRUM 	145	signal_drum-cl		194	*kɨɨmɨ-ba		
435	Muinane	kɨ́ɨ́mɨba 	DRUM 	145			194	*kɨɨmɨ-ba		
436	PBoM	nɨhɨ-ga	EAR ORNAMENT 	146			196	*nɨhɨ-ga	*nɯ́xɯ́i-ga(ko)	
437	Bora	nɯ́hɯ́-i-kʷa 	EAR ORNAMENT 	146	ear-cl-cl		196	*nɨhɨ-ga		
438	Muinane	nɨ́hɨ-ga-ku 	EAR ORNAMENT 	146	ear-cl-cl 		196	*nɨhɨ-ga		
439	PBoM	maaʔnii	MASK 	147			197	*maaʔnii	*mááʔnií(ʔɯmo)	Leipzig-Jakarta
440	Bora	máʔnií	MASK 	147			197	*maaʔnii		Leipzig-Jakarta
441	Muinane	maaní-ʔɨme 	MASK 	147	mask-face 		197	*maaʔnii		Leipzig-Jakarta
442	PBoM	taabu-mɨnaa-ppi	MEDICINE MAN 	148			198	*taabu-mɨnaa-ppi	(ǰɯ́ɯ́βáábeé), (táábómɯnaaɸi)	
443	Bora	tʰáápo-mɯ́ná-a-hpʰi 	MEDICINE MAN 	148	heal-people-belong-masc.sg		198	*taabu-mɨnaa-ppi		
444	Muinane	táábú-mɨnaa-ɸi 	MEDICINE MAN 	148			198	*taabu-mɨnaa-ppi		
445	PBoM	aiβohɨɨ-bo	CHIEF 	149			199	*aiβohɨɨ-bo	*aiβéxɯɯ́-be	
446	Bora	aβʲéhɯɯ́-pe 	CHIEF 	149	command-masc.sg		199	*aiβohɨɨ-bo		
447	Muinane	aíβohɨ́ɨ́-bo 	CHIEF 	149			199	*aiβohɨɨ-bo		
448	PBoM	uu	I  	150			200	*uu	*oó(-xéʔe)	Leipzig-Jakarta, Swadesh
449	Bora	oó	I  	150			200	*uu		Leipzig-Jakarta, Swadesh
450	Muinane	úú-hóʔo 	I  	150		Note:-hoʔo is dropped in non-nominative, e.g. u-ko ‘to me’ 	200	*uu		Leipzig-Jakarta, Swadesh
451	PBoM	ɨɨ	THOU  	151			201	*ɨɨ	*ɯɯ́(-xéʔe)	Leipzig-Jakarta, Swadesh
452	Bora	ɯɯ́	THOU  	151			201	*ɨɨ		Leipzig-Jakarta, Swadesh
453	Muinane	ɨ́ɨ́-hóʔo 	THOU  	151		Note:-hoʔo is dropped in non-nominative, e.g. u-ko ‘to you’ 	201	*ɨɨ		Leipzig-Jakarta, Swadesh
454	PBoM	aa-nɨɨ,dii-bo	HE  	152			202	*aa-nɨɨ,*dii-bo	*dií-be, (aáí-be), (aá-be), (áá-nɯɯ́), (aá-di) {204}, *á(x)áa-nɯ	Leipzig-Jakarta
455	Bora	áánɯɯ́, tií-pʲe 	HE  	152	3-masc.sg		202	*aa-nɨɨ,*dii-bo		Leipzig-Jakarta
456	Muinane	áháanɨ, díi-bo 	HE  	152			202	*aa-nɨɨ,*dii-bo		Leipzig-Jakarta
457	PBoM	aaimoo,dii-go	SHE  	153			203	*aaimoo,*dii-go	*dií-ge, *(aáí-)ge, *(ááí)-meé, *(áxáa)-me	Leipzig-Jakarta
458	Bora	áámʲeé tií-ʧe 	SHE  	153	3-fem.sg		203	*aaimoo,*dii-go		Leipzig-Jakarta
459	Muinane	áháamo, díi-go 	SHE  	153			203	*aaimoo,*dii-go		Leipzig-Jakarta
460	PBoM	haa-no	IT 	154			204	*haa-no	(aáí-be) {202,203,257}, (xáá-ne)	
461	Bora	aá-ne 	IT 	154	3-inan		204	*haa-no		
462	Muinane	háá-no 	IT 	154			204	*haa-no		
463	PBoM	mɨɨʔai	WE  	155			205	*mɨɨʔai	*mɯɯ́ʔ-ai {pl}, *mɯʔ-ʦi {m.d.}, *mɯʔ-pɨ {f.d.}	Swadesh
464	Bora	mɯɯ́ʔa	WE  	155			205	*mɨɨʔai		Swadesh
465	Muinane	mɨ́ɨ́ʔai 	WE  	155			205	*mɨɨʔai		Swadesh
466	PBoM	amɨɨai	YE 	156			206	*amɨɨai	*ámɯɯ́ʔ-ai, *ámɯɯʔ-ʦi {m.d.}, *ámɯɯʔ-pɨ {f.d.}	
467	Bora	ámɯɯ́ʔa	YE 	156			206	*amɨɨai		
468	Muinane	amɨ́ɨ́ʔai 	YE 	156			206	*amɨɨai		
469	PBoM	dii-to	THEY 	157			207	*dii-to	*dií-te, *(aáí)-te {pl}, *dii-t(é)-ʦi {m.d.}, *dii-t(é)-pɨ {f.d.}	
470	Bora	tií-tʰʲe 	THEY 	157	3-pl		207	*dii-to		
471	Muinane	díí-to 	THEY 	157			207	*dii-to		
472	PBoM	tai-ʔutʦe	MY HAND 	158			208	*tai-ʔutʦe	*táí-ʔótʦɨ {214}	
473	Bora	tʰá-ʔóhʦʰɨ 	MY HAND 	158	my-hand		208	*tai-ʔutʦe		
474	Muinane	tá-ʔuse 	MY HAND 	158			208	*tai-ʔutʦe		
475	PBoM	dii-ʔutʦe	THY HAND 	159			209	*dii-ʔutʦe	*díí-ʔótʦɨ	
476	Bora	tí-ʔʲóhʦʰɨ 	THY HAND 	159	2-hand		209	*dii-ʔutʦe		
477	Muinane	díí-ʔuse 	THY HAND 	159			209	*dii-ʔutʦe		
478	PBoM	dii-bo ʔutʦe	HIS HAND 	160			210	*dii-bo ʔutʦe	*(díí)-be-ʔótʦɨ, *(aáí)-be-ʔótʦɨ, *(ááí-di)-ʔotʦɨ	
479	Bora	tíípʲe ʔóhʦʰɨ	HIS HAND 	160			210	*dii-bo ʔutʦe		
480	Muinane	dííbo ʔuse 	HIS HAND 	160			210	*dii-bo ʔutʦe		
481	PBoM	mo-ʔutʦe-no	OUR HANDS  	161			211	*mo-ʔutʦe-no	*mé-ʔótʦɨ-ne	Leipzig-Jakarta
482	Bora	mé-ʔóhʦʰɨ-ne 	OUR HANDS  	161	our-hand-pl		211	*mo-ʔutʦe-no		Leipzig-Jakarta
483	Muinane	mú-ʔuse-ne 	OUR HANDS  	161			211	*mo-ʔutʦe-no		Leipzig-Jakarta
484	PBoM	amɨɨʔai ʔutʦe-no	YOUR HANDS  	162			212	*amɨɨʔai ʔutʦe-no	*amɯ́ɯ́ʔ-áí-ʔótʦɨ-ne	Leipzig-Jakarta
485	Bora	amɯ́ʔá ʔóhʦʰɨne	YOUR HANDS  	162			212	*amɨɨʔai ʔutʦe-no		Leipzig-Jakarta
486	Muinane	amɨ́ɨ́ʔai ʔuse-ne 	YOUR HANDS  	162			212	*amɨɨʔai ʔutʦe-no		Leipzig-Jakarta
487	PBoM	diito ʔutʦe-no	THEIR HANDS 	163			213	*diito ʔutʦe-no	*díí-te-ʔótʦɨ-ne, *(aáí)-te-ʔótʦɨ-ne	
488	Bora	tíítʰʲe ʔóhʦʰɨne	THEIR HANDS 	163			213	*diito ʔutʦe-no		
489	Muinane	díítoʔusene 	THEIR HANDS 	163			213	*diito ʔutʦe-no		
490	PBoM	tai-tɨɨbu-ga	MY BOW  	164			214	*tai-tɨɨbu-ga	*táí-tɯ́ɯ́bo-ga	Leipzig-Jakarta
491	Bora	tʰá-tʰʲɯ́poo-kʷa 	MY BOW  	164	my-shoot-cl:plank		214	*tai-tɨɨbu-ga		Leipzig-Jakarta
492	Muinane	ta-tʲɨ́ɨ́bu-ga 	MY BOW  	164			214	*tai-tɨɨbu-ga		Leipzig-Jakarta
493	PBoM	dii-tɨɨbu-ga	THY BOW 	165			215	*dii-tɨɨbu-ga		
494	Bora	tí-tʰʲɯ́poo-kʷa	THY BOW 	165			215	*dii-tɨɨbu-ga		
495	Muinane	di-tɨ́ɨ́bu-ga 	THY BOW 	165			215	*dii-tɨɨbu-ga		
496	PBoM	dii-bo tɨɨbu-ga	HIS BOW 	166			216	*dii-bo tɨɨbu-ga		
497	Bora	tíípʲe tʰɯ́poo-kʷa	HIS BOW 	166			216	*dii-bo tɨɨbu-ga		
498	Muinane	dííbo tɨ́ɨ́bu-ga 	HIS BOW 	166			216	*dii-bo tɨɨbu-ga		
499	PBoM	mo-tɨɨbu-ga	OUR BOW 	167			217	*dii-bo tɨɨbu-ga		
500	Bora	mé-tʰɯ́poo-kʷa	OUR BOW 	167			217	*mo-tɨɨbu-ga		
501	Muinane	mo-tɨ́ɨ́bu-ga 	OUR BOW 	167			217	*mo-tɨɨbu-ga		
502	PBoM	amɨɨʔai tɨɨbu-ga	YOUR BOW 	168			218	*amɨɨʔai tɨɨbu-ga		
